PROPERTY ID,ROOMS,VALUE,HOUSE TYPE
Not Found,1,170000,flats
Not Found,1,750000,flats
Not Found,1,565000,flats
Not Found,1,545000,flats
Not Found,1,537500,flats
Not Found,1,525000,flats
Not Found,1,525000,flats
Not Found,1,522500,flats
Not Found,1,517500,flats
Not Found,1,515000,flats
Not Found,1,512500,flats
Not Found,1,512500,flats
Not Found,1,505000,flats
Not Found,1,505000,flats
Not Found,1,502000,flats
Not Found,1,500000,flats
Not Found,1,499999,flats
Not Found,1,497500,flats
Not Found,1,485000,flats
Not Found,1,485000,flats
Not Found,1,480000,flats
Not Found,1,475000,flats
Not Found,1,475000,flats
Not Found,1,475000,flats
Not Found,1,470000,flats
Not Found,2,395000,flats
Not Found,2,3000000,flats
Not Found,2,1750000,flats
Not Found,2,1750000,flats
Not Found,2,1650000,flats
Not Found,2,1495000,flats
Not Found,2,1350000,flats
Not Found,2,1350000,flats
Not Found,2,1200000,flats
Not Found,2,1195000,flats
Not Found,2,1150000,flats
Not Found,2,950000,flats
Not Found,2,950000,flats
Not Found,2,949995,flats
Not Found,2,925000,flats
Not Found,2,925000,flats
Not Found,2,895500,flats
Not Found,2,895000,flats
Not Found,2,877500,flats
Not Found,2,875000,flats
Not Found,2,875000,flats
Not Found,2,875000,flats
Not Found,2,875000,flats
Not Found,3,375000,flats
Not Found,3,1850000,flats
Not Found,3,1800000,flats
Not Found,3,1750000,flats
Not Found,3,1500000,flats
Not Found,3,1500000,flats
Not Found,3,1500000,flats
Not Found,3,1400000,flats
Not Found,3,1350000,flats
Not Found,3,1295000,flats
Not Found,3,1250000,flats
Not Found,3,1225000,flats
Not Found,3,1200000,flats
Not Found,3,1195000,flats
Not Found,3,1190000,flats
Not Found,3,1100000,flats
Not Found,3,1100000,flats
Not Found,3,1100000,flats
Not Found,3,1100000,flats
Not Found,3,1100000,flats
Not Found,3,1100000,flats
Not Found,3,1100000,flats
Not Found,3,1099995,flats
Not Found,3,1045000,flats
Not Found,3,1035000,flats
Not Found,1,375000,terraced
Not Found,1,365000,terraced
Not Found,1,320000,terraced
Not Found,1,320000,terraced
Not Found,1,305000,terraced
Not Found,1,300000,terraced
Not Found,1,295000,terraced
Not Found,1,280000,terraced
Not Found,1,270000,terraced
Not Found,1,270000,terraced
Not Found,1,265000,terraced
Not Found,1,260000,terraced
Not Found,1,250000,terraced
Not Found,1,250000,terraced
Not Found,1,250000,terraced
Not Found,1,250000,terraced
Not Found,1,225000,terraced
Not Found,1,220000,terraced
Not Found,1,200000,terraced
Not Found,1,200000,terraced
Not Found,1,190000,terraced
Not Found,1,185000,terraced
Not Found,1,180000,terraced
Not Found,1,178500,terraced
Not Found,2,265000,terraced
Not Found,2,1150000,terraced
Not Found,2,950000,terraced
Not Found,2,949995,terraced
Not Found,2,925000,terraced
Not Found,2,850000,terraced
Not Found,2,850000,terraced
Not Found,2,795000,terraced
Not Found,2,795000,terraced
Not Found,2,795000,terraced
Not Found,2,794995,terraced
Not Found,2,725000,terraced
Not Found,2,695000,terraced
Not Found,2,680000,terraced
Not Found,2,640000,terraced
Not Found,2,630000,terraced
Not Found,2,620000,terraced
Not Found,2,600000,terraced
Not Found,2,595000,terraced
Not Found,2,590000,terraced
Not Found,2,580000,terraced
