Participant,Age,Condition,Saccade Onset,ProportionFace,ProportionDistractor,,,,
589,6,1,0.738666667,0.342881955,0.241788139,,,,
590,6,1,0.507,0.538614912,0.051887775,,,,
591,6,1,0.823,0.241996239,0.285613369,,,,
593,6,1,0.887333333,0.257274154,0.121158129,,,,
596,6,1,0.908,0.259041779,0.022673136,,,,
644,6,1,0.736,0.216738405,0,,,,
650,6,1,0.4496,0.39429009,0,,,,
651,6,1,0.489714286,0.43935589,0.096230485,,,,
652,6,1,0.712,0.46112356,0,,,,
653,6,1,0.423,0.345366741,0.152878782,,,,
656,6,1,0.645,0.566396821,0.035783133,,,,
657,6,1,0.602,0.288795371,0,,,,
664,6,1,0.880666667,0.585712377,0.028145443,,,,
665,6,1,0.633,0.467357089,0,,,,
670,6,1,0.699,0.535978836,0.116049383,,,,
693,6,1,0.5004,0.275748473,0.031481481,,,,
707,6,1,0.625333333,0.49222415,0.29114063,,,,
587,9,1,0.324,0.584330064,0.054661017,,,,
594,9,1,0.781,0.310876596,0,,,,
595,9,1,0.638666667,0.656124472,0.05590499,,,,
598,9,1,0.3985,0.41702526,0.116650906,,,,
628,9,1,0.467,0.438857624,0,,,,
635,9,1,0.432,0.208140626,0.061252772,,,,
641,9,1,0.555333333,0.402270686,0.081219602,,,,
642,9,1,0.533142857,0.510018945,0.046285977,,,,
647,9,1,0.454,0.403396193,0.145220499,,,,
660,9,1,1.866,0.103194103,0,,,,
661,9,1,0.556,0.082308019,0,,,,
675,9,1,0.602,0.370918895,0.236573127,,,,
677,9,1,0.692,0.40681891,0,,,,
684,9,1,0.3624,0.554465962,0.048533275,,,,
691,9,1,0.652,0.480414622,0.067599074,,,,
697,9,1,0.532285714,0.513784013,0.051033792,,,,
715,9,1,0.486666667,0.625071134,0.071173271,,,,
718,9,1,0.344,0,0,,,,
719,9,1,0.888,0.334057659,0.097461274,,,,
592,12,1,0.37875,0.698653477,0.045462685,,,,
597,12,1,0.6644,0.332314575,0,,,,
599,12,1,0.405714286,0.354731702,0.105406395,,,,
608,12,1,0.405,0.528459613,0.176179109,,,,
636,12,1,0.514,0.449587025,0,,,,
638,12,1,0.433,0.288068992,0.163977938,,,,
643,12,1,0.355714286,0.554842046,0.028275594,,,,
645,12,1,0.2968,0.523982639,0.148730704,,,,
658,12,1,0.417,0.456867898,0.051953702,,,,
659,12,1,0.756,0.12195122,0,,,,
662,12,1,0.617,0.583900549,0.032692308,,,,
668,12,1,0.495714286,0.715919028,0,,,,
671,12,1,0.594,0.400121725,0.091189371,,,,
678,12,1,0.869333333,0.276860734,0,,,,
688,12,1,0.437333333,0.470824682,0.205583347,,,,
700,12,1,0.466,0.617472559,0.034450851,,,,
703,12,1,0.796,0.451733204,0,,,,
708,12,1,0.427333333,0.385947718,0.072860563,,,,
712,12,1,0.671428571,0.460927782,0.086447374,,,,
716,12,1,0.708,0.525758221,0.143106211,,,,
601,6,2,1.46,0.238769762,0,,,,
603,6,2,1.634,0.095480586,0,,,,
609,6,2,0.638,0.697986577,0,,,,
610,6,2,0.416,0.480662983,0,,,,
612,6,2,0.962,0.167750328,0.362188875,,,,
613,6,2,1.11,0.751214772,0,,,,
620,6,2,0.65,0.147169976,0.101038339,,,,
655,6,2,1.346,0.418478308,0,,,,
676,6,2,0.615,0.305801628,0.078561918,,,,
681,6,2,0.102,0.192833876,0.202605863,,,,
600,9,2,0.9092,0.433925083,0.2040438,,,,
602,9,2,1.199,0.542154551,0.160860275,,,,
604,9,2,0.442,0.524539877,0,,,,
605,9,2,0.408,0.435467905,0.219855559,,,,
616,9,2,0.2616,0.270296577,0.264745623,,,,
618,9,2,0.667,0.348215342,0.029969815,,,,
626,9,2,0.617,0.364554047,0,,,,
627,9,2,0.6036,0.563694483,0.045093566,,,,
629,9,2,0.6916,0.378813716,0.027712724,,,,
631,9,2,0.73,0.162982645,0.255524591,,,,
654,9,2,0.718,0.360610713,0.255376683,,,,
663,9,2,1.024,0.295183044,0.234296724,,,,
682,9,2,0.750666667,0.35485497,0.075691347,,,,
685,9,2,0.292,0.875,0,,,,
694,9,2,1.796,0.261359168,0.142487939,,,,
698,9,2,1.334,0.346972177,0,,,,
709,9,2,0.373,0.312735694,0,,,,
710,9,2,0.684,0.180709411,0.084045671,,,,
606,12,2,0.5208,0.36121018,0.110496144,,,,
611,12,2,0.3965,0.467652574,0.238636147,,,,
614,12,2,0.4756,0.314029095,0.084364821,,,,
617,12,2,0.002,0.46735905,0,,,,
619,12,2,1.309,0.388043661,0,,,,
622,12,2,0.5075,0.492880361,0.104768786,,,,
623,12,2,0.3028,0.159976025,0.133117456,,,,
624,12,2,0.4428,0.660310119,0.068426691,,,,
630,12,2,1.0812,0.422274552,0.065643863,,,,
632,12,2,0.516,0.468525555,0.028545827,,,,
633,12,2,0.3824,0.53570941,0.016872428,,,,
634,12,2,0.458,0.442162568,0.153827642,,,,
639,12,2,0.386,0.258961036,0.161196466,,,,
640,12,2,0.6164,0.464566652,0.064239172,,,,
646,12,2,0.566666667,0.323094466,0,,,,
649,12,2,0.603333333,0.332809573,0.069023569,,,,
674,12,2,0.887333333,0.360588259,0.167858332,,,,
679,12,2,0.392,0.372291945,0.2452855,,,,
680,12,2,0.446,0.250150928,0.301901143,,,,
706,12,2,0.835,0.257430461,0.092747112,,,,
717,12,2,0.516,0.217348448,0.046328241,,,,
